OBJECTID,ZIP5,ShapeSTArea,ShapeSTLength
1,02134,37219357.2770996,40794.1823959767
2,02125,64760516.6159668,62224.521439968
3,02110,6637283.75439453,18358.2134956839
4,02118,31161577.0734863,32353.4076175996
5,02126,60785850.3103027,45488.3947113255
6,02109,5536731.43920898,22538.3058417574
7,02021,2361.90502929688,432.194702234651
8,02113,2807327.85253906,8507.45997104067
9,02130,105221153.023926,64225.0222102118
10,02121,48905922.2434082,35217.5819232824
11,02119,44511498.5244141,37680.7020993546
12,02115,19771296.0339355,34806.5840218673
13,02163,3271313.24072266,7298.78194321054
14,02135,78620825.9248047,61170.6309380143
15,02199,1603177.36352539,5140.73082166639
16,02459,24832.7564697266,9295.15063852394
17,02124,85658048.0522461,57673.0077470162
18,02132,129360685.459717,68024.5717104022
19,02114,12538634.208252,27934.5314211368
20,02108,6162153.07641602,18485.0401292288
21,02136,128128953.259766,65353.7578293903
22,02111,7823799.34619141,13814.879494079
23,02210,32373210.0708008,36215.5640183165
24,02116,19117646.1699219,23262.912272931
25,02131,81688796.4990234,68311.5451216202
26,02127,67536142.7421875,51905.2516353037
27,02120,17329493.5510254,28148.2999058812
28,02203,864466.751953125,4052.84608445422
29,02215,25198308.0026855,37861.7313053453
30,02129,42249762.5300293,38078.0954538402
31,02128,147802204.054443,82747.6903234676
32,02122,61086361.3432617,74811.1840081161
33,02151,8707547.79101562,24981.9047950474
34,02186,99.52197265625,96.8672454922593
35,02026,19174.0301513672,4025.19077198656
36,02152,8873432.5871582,15553.4416025736
37,02467,5696.38989257812,2897.48045110195
38,02467,181.837646484375,229.305717358468
39,02467,2806999.96203613,10562.6932277603
40,02467,1282571.02124023,7052.50472603856
41,02467,8825573.50720215,21844.883434503
42,02467,4467229.03662109,11198.5628919293
43,02467,5059.77197265625,975.833120670146
